"kanji","curPron","pos","nextPron","prevPron","curIndex","lastChar","onKun","oneChar","allKanji"
"事","ごと","noun","END","i","2","KANJI","False","False","True"
"家","か","noun","c","START","0","KANJI","False","False","True"
"恐","きょう","noun","s","START","0","KANJI","False","False","True"
"激","げき","noun","z","START","0","KANJI","False","False","True"
"値","ね","-fix","END","START","0","KANJI","True","True","True"
"婿","むこ","noun","END","START","0","KANJI","True","True","True"
"災","さい","noun","END","n","1","KANJI","False","False","True"
"業","ぎょう","noun","END","n","1","KANJI","False","False","True"
"宝","ほう","noun","END","u","1","KANJI","False","False","True"
"む","む","verb","END","o","3","む","True","False","False"
"響","ひび","noun","k","START","0","き","True","False","False"
"も","も","adjective","END","o","3","も","True","False","False"
"な","な","adjective","k","o","2","く","True","False","False"
"白","じろ","adjective","i","o","1","い","True","False","False"
"る","る","verb","END","e","2","る","True","False","False"
"済","す","verb","m","START","0","す","True","False","False"
"初","しょ","noun","j","START","0","KANJI","False","False","True"
"り","り","-fix","END","u","1","り","True","False","False"
"赤","あか","adjective","i","START","0","い","True","False","False"
"休","やす","noun","m","u","1","み","True","False","False"
"き","き","noun","END","o","2","き","True","False","False"
"す","す","verb","END","a","1","す","True","False","False"
"る","る","verb","END","e","2","る","True","False","False"
"素","す","adjective","b","START","0","い","True","False","False"
"連","つ","noun","r","START","0","れ","True","False","False"
"る","る","verb","END","u","2","る","True","False","False"
"の","の","noun","m","a","1","KANJI","True","False","False"
"塩","しお","noun","END","START","0","KANJI","True","True","True"
"舞","ま","verb","u","START","0","う","True","False","False"
"使","し","noun","k","i","1","KANJI","False","False","True"
"町","まち","noun","END","START","0","KANJI","True","True","True"
"長","ちょう","noun","END","u","1","KANJI","False","False","True"
"続","ぞく","noun","END","i","1","KANJI","False","False","True"
"晩","ばん","noun","g","START","0","KANJI","False","False","True"
"生","じょう","noun","b","n","1","KANJI","False","False","True"
"食","しょく","noun","END","u","1","KANJI","False","False","True"
"味","み","noun","END","i","1","KANJI","False","False","True"
"算","ざん","noun","END","e","2","KANJI","True","False","False"
"命","みょう","noun","END","u","1","KANJI","False","False","True"
"し","し","adjective","i","o","2","い","True","False","False"
"る","る","verb","END","o","1","る","True","False","False"
"る","る","verb","END","e","2","る","True","False","False"
"下","した","noun","g","START","0","KANJI","False","False","True"
"質","しつ","noun","END","i","1","KANJI","False","False","True"
"磨","みが","verb","k","START","0","く","True","False","False"
"す","す","verb","END","a","2","す","True","False","False"
"無","む","noun","k","START","0","KANJI","False","False","True"
"観","かん","noun","END","i","1","KANJI","False","False","True"
"外","がい","noun","k","START","0","KANJI","False","False","True"
"り","り","noun","END","a","2","り","True","False","False"
"交","こう","noun","b","START","0","KANJI","False","False","True"
"常","じょう","noun","END","i","1","KANJI","False","False","True"
"無","ぶ","noun","s","START","0","KANJI","False","False","True"
"弟","おとうと","noun","END","START","0","KANJI","True","True","True"
"た","た","expression","r","i","4","ら","True","False","False"
"道","どう","noun","r","START","0","KANJI","False","False","True"
"低","てい","noun","END","i","1","KANJI","False","False","True"
"囲","かこ","verb","m","START","0","む","True","False","False"
"召","め","verb","s","START","0","す","True","False","False"
"掛","か","noun","k","i","1","け","True","False","False"
"卑","ひ","noun","k","START","0","KANJI","False","False","True"
"品","ひん","noun","END","u","1","KANJI","False","False","True"
"々","とう","adjective","END","u","1","KANJI","False","False","True"
"出","だ","verb","s","i","2","す","True","False","False"
"長","ちょう","noun","END","n","1","KANJI","False","False","True"
"地","ち","noun","z","START","0","KANJI","False","False","True"
"定","てい","noun","END","u","1","KANJI","False","False","True"
"笑","しょう","noun","END","i","1","KANJI","False","False","True"
"海","かい","noun","r","START","0","KANJI","False","False","True"
"間","ま","noun","END","i","1","KANJI","False","False","True"
"主","しゅ","noun","k","START","0","KANJI","False","False","True"
"故","こ","noun","j","START","0","KANJI","False","False","True"
"全","ぜん","noun","t","START","0","KANJI","False","False","True"
"用","よう","noun","END","n","1","KANJI","False","False","True"
"文","ぶん","noun","k","START","0","KANJI","False","False","True"
"す","す","verb","END","a","2","す","True","False","False"
"参","さん","noun","j","START","0","KANJI","False","False","True"
"め","め","verb","r","a","1","る","True","False","False"
"一","ひと","noun","r","i","2","KANJI","False","False","True"
"止","や","verb","m","START","0","る","True","False","False"
"国","こく","noun","r","START","0","KANJI","False","False","True"
"盗","とう","noun","END","u","1","KANJI","False","False","True"
"る","る","verb","END","e","2","る","True","False","False"
"療","りょう","noun","END","i","1","KANJI","False","False","True"
"面","めん","noun","s","START","0","KANJI","False","False","True"
"奏","そう","noun","END","i","1","KANJI","False","False","True"
"紡","ぼう","noun","s","START","0","KANJI","False","False","True"
"適","てき","noun","t","START","0","KANJI","False","False","True"
"建","た","verb","t","START","0","つ","True","False","False"
"例","れい","noun","END","u","1","KANJI","False","False","True"
"産","さん","noun","END","n","1","KANJI","False","False","True"
"情","なさ","noun","k","START","0","け","True","False","False"
"子","し","noun","s","START","0","KANJI","False","False","True"
"使","し","noun","y","START","0","KANJI","False","False","True"
"る","る","verb","END","a","4","る","True","False","False"
